,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
1412,"線上,課程,無法,撥放,電腦,顯示,系統,支援,亂碼",0,BPM平台系統,6,"[0.41714585 0.05211091 0.04883708 0.16156478 0.01531857 0.01660782
 0.28841493]"
3167,"user,key,料號,時,尋找,不到,相關,料件",0,BPM平台系統,4,"[0.40576228 0.02729201 0.02994454 0.1018434  0.16217344 0.09001336
 0.18297087]"
1121,"can,t,print,out",0,BPM平台系統,4,"[0.30675024 0.02384199 0.02778209 0.08118173 0.2794864  0.13915837
 0.14179915]"
5455,dasdas,4,SAP-168(QCI),0,"[0.09535533 0.00910655 0.01223846 0.02765816 0.5982892  0.21236074
 0.04499162]"
3298,"無法,logon268",4,SAP-168(QCI),5,"[0.23479366 0.01887318 0.02300629 0.06297007 0.3813954  0.17044775
 0.10851364]"
911,"需求,需要,撈,QITS,舊,案子,0Q7,資料,Edit,Report,後,再,首頁,發生,Error,關掉,再,重開,使用,瀏覽器,IE",4,SAP-168(QCI),3,"[0.01378758 0.00259959 0.00395292 0.00570194 0.75753516 0.2089325
 0.0074903 ]"
401,"廣達,學院,課程,無法,觀看",0,BPM平台系統,6,"[0.43402627 0.0472314  0.04517048 0.15457098 0.01964331 0.01946861
 0.27988902]"
1483,"您好,做,MRO2,發票,作業,時,儲存,出現,輸入,字串,格式,正確,無法,作業,禮拜,已,發信,Andy,Chen,似乎,回應,今天,系統,發信,說,收料,已,逾七天,尚未,進行,發票,作業,盡速,解決",4,SAP-168(QCI),0,"[0.17319386 0.03827528 0.04405857 0.07924741 0.35109606 0.20689334
 0.1072354 ]"
4085,"系統,顯示,Can,t,find,department,information,QITS,所有,issue,看到",4,SAP-168(QCI),3,"[0.04039505 0.00576432 0.00814732 0.01428454 0.68683743 0.22388616
 0.0206852 ]"
2388,"download,BOM,issue",0,BPM平台系統,4,"[0.42915618 0.04866528 0.04603371 0.1570664  0.01622953 0.01694122
 0.28590772]"
4440,"PDM,輸入,密碼,後,無法,登,入",4,SAP-168(QCI),0,"[0.0130633  0.0019118  0.0029882  0.00476162 0.77703524 0.19363713
 0.00660269]"
1840,,4,SAP-168(QCI),5,"[0.09535533 0.00910655 0.01223846 0.02765816 0.5982892  0.21236074
 0.04499162]"
926,"進入,FTP,網頁,模式,無法,轉換,進入,檔案,總管,模式,無法,上傳,檔案",0,BPM平台系統,3,"[0.3916278  0.05951419 0.05437328 0.17122364 0.0111568  0.01366385
 0.2984405 ]"
29,"使用,軟體,pro,e,畫面,當掉,記憶體,出現,藍色,畫面,白色,字",4,SAP-168(QCI),2,"[0.01054789 0.00161591 0.00256751 0.00391146 0.78701365 0.1889947
 0.00534883]"
239,"268,BOM,can,not,be,downloaded",0,BPM平台系統,5,"[0.44918957 0.04259542 0.04182971 0.14581886 0.02962202 0.02588663
 0.26505783]"
4329,"假,作業,系統,BPM,系統,進不去",0,BPM平台系統,6,"[0.40549073 0.05524617 0.0509074  0.1661389  0.01151375 0.01361042
 0.29709256]"
1305,"電腦,外帶,攜出,申單,帶出,員工,舊,資產,編號,需,帶出,新,資產,編號",4,SAP-168(QCI),0,"[0.12585562 0.01684984 0.0212821  0.04370399 0.50583273 0.22059228
 0.06588338]"
2948,"Zv29,帶出來,單價,太慢,是否,使用",0,BPM平台系統,4,"[0.43293145 0.04741179 0.04539134 0.15466405 0.02003232 0.01981277
 0.27975622]"
4741,"找不到,PMA",4,SAP-168(QCI),3,"[0.14921811 0.01380018 0.0176759  0.04281393 0.5034717  0.20240544
 0.07061481]"
371,"無法,看到,同仁,上傳,考績,表",0,BPM平台系統,6,"[0.45771557 0.03455579 0.03580661 0.12719369 0.06759503 0.04652524
 0.2306081 ]"
4393,"NB3RD1,BZ1,project,T,16,issue,無法,Open,可否,查看,原因,感謝",4,SAP-168(QCI),3,"[0.09260537 0.01195046 0.01569468 0.03151363 0.5737426  0.22695003
 0.04754328]"
4431,"Can,t,display,MS8,Issue,on,Home,Page,初步,懷疑,MS8,Nb3rd1,and,Nb3rd2,有所,導致,是否,能將,Nb3rd2,MS8,刪除",0,BPM平台系統,3,"[0.40505186 0.05666873 0.05315548 0.16466181 0.01835275 0.01973053
 0.28237885]"
4274,"申者,畫面,無法,正確,顯示,連線至,公司,內部,WEB,系統,畫面",0,BPM平台系統,6,"[0.40638977 0.05514419 0.05104888 0.1655627  0.01265861 0.01464882
 0.29454705]"
3176,"E0,0992,转入,218",0,BPM平台系統,5,"[0.46277186 0.03618861 0.03690175 0.13246188 0.05103382 0.03765742
 0.24298464]"
439,"user,APO,相關,R5,R11,問題,解決",0,BPM平台系統,5,"[0.43446785 0.04728746 0.04519689 0.15444684 0.01932684 0.01920778
 0.28006637]"
5001,"AP,會計,海外,QCH,部份,問題,無法,作帳,相關,人員",0,BPM平台系統,4,"[0.40255725 0.05617853 0.05165845 0.1672009  0.01151795 0.01370439
 0.29718256]"
5173,"經常性,開啟,OrCAD,設計,軟體,時,License,已經,且須,等待,機會,搶到,方可,工作,發生,現象,機率,高,已經,影響,專案,進行,著實,降低,競爭力,解決,License,不足,問題",0,BPM平台系統,3,"[0.43339035 0.04586231 0.04538113 0.14745004 0.03831128 0.03263739
 0.25696754]"
3833,"SAP168,218,LOGON,BALANCE,ERROR,88",4,SAP-168(QCI),5,"[0.03970837 0.00513699 0.00735038 0.01350346 0.6948557  0.21942316
 0.02002194]"
4560,"第二個,地方,Project,management,Add,test,case,Tester,評估,是否,新增,QCMC,人員,英文,名字,搜,找,很久",0,BPM平台系統,3,"[0.37162578 0.06570775 0.05891333 0.17792569 0.00887814 0.01190122
 0.30504808]"
5382,"CAMP,APP,中,BPM,表單,無法,簽核,出現,錯誤,人,美國,OCS,連繫",0,BPM平台系統,1,"[0.36799222 0.03066001 0.03361556 0.10237543 0.1847815  0.10571767
 0.17485762]"
4645,"達丰,採購,部,使用,ZMPW,21,這一天,廠商,PO,資料,抓不到,料頭,AL,廠商,代碼,NSC,NSC",4,SAP-168(QCI),5,"[0.05786411 0.00914226 0.01243172 0.02184289 0.63178897 0.23553836
 0.03139171]"
2059,"輸入,完,資料,後,上傳,出現,錯誤,GAMS,RS,應用,程式,中,發生,伺服器,錯誤",4,SAP-168(QCI),6,"[0.04973362 0.00798977 0.01097512 0.01891745 0.65206856 0.23368725
 0.02662824]"
1374,"想問,MIS,人員,SAP208,裡的,ZVPF,中,Download,多筆,invoice,相關,問題",0,BPM平台系統,5,"[0.4359512  0.04685349 0.04525292 0.15245155 0.02433395 0.0229338
 0.2722231 ]"
65,"工作,機,容易,沒電,插,電源線,狀況,下能,使用,時間,不到,1hr,客人,廠商,開會,時,相當,方便",4,SAP-168(QCI),0,"[0.04775545 0.00678922 0.009476   0.01693843 0.6665946  0.22773081
 0.02471544]"
4487,"QCA,MIS,提出,SAP168,Printing,問題,無法,列印,1301",0,BPM平台系統,4,"[0.40633094 0.05515987 0.05104948 0.16576353 0.01268686 0.01465472
 0.29435465]"
1769,"使用,QSIT,Start,Project,時,系統,出現,Data,Failed,洽,MIS,系統,管理,錯誤,訊息,儘快,THK",0,BPM平台系統,3,"[0.41181034 0.05386398 0.05088042 0.16230214 0.01851832 0.01952267
 0.2831021 ]"
2034,"Download,test,report,出現,Data,Failed",0,BPM平台系統,3,"[0.39943185 0.05668698 0.05185298 0.16834827 0.0104077  0.01270537
 0.30056688]"
1558,"申完,會議室,之後,通知,信件,附檔,無法,自動,增列,到,行事曆,之前,自動,新增,到,行事曆",0,BPM平台系統,6,"[0.43979576 0.04451193 0.04394415 0.1470375  0.03505255 0.03003356
 0.25962454]"
3481,"填寫,出差旅費,申報單,時,選擇,比例,分攤,按下,新增,分攤,項目,後,系統,出現,錯誤",4,SAP-168(QCI),0,"[0.05652088 0.00879126 0.01195792 0.02117986 0.6361693  0.23497346
 0.03040727]"
4527,"交通車,無法,申,同事,正常,申",0,BPM平台系統,6,"[0.40858835 0.05431506 0.05020797 0.16508459 0.01236297 0.01430259
 0.29513842]"
4734,"點選,勞工,安全,講習,影片,無法,開啟",4,SAP-168(QCI),6,"[0.1887124  0.01778433 0.02205094 0.05487186 0.4353807  0.19071545
 0.09048434]"
5318,"填,訪客,申單,送出,出現,錯誤,訊息,使,無法,申,成功",4,SAP-168(QCI),6,"[0.01594083 0.00259354 0.00394255 0.00610638 0.75859255 0.20449424
 0.00832992]"
2131,"QEX,點,影片,無法,正常,播放",0,BPM平台系統,6,"[0.39235765 0.05869867 0.0532086  0.17072634 0.00903855 0.01155935
 0.3044108 ]"
5327,"南棟,2F,警衛,處,資產,外帶,證,系統,無法,連線,使用,查看",4,SAP-168(QCI),6,"[0.01863576 0.00298692 0.00449437 0.00706651 0.7471006  0.20996656
 0.00974936]"
1158,"無法,登入,My,Quanta,Web,內部,應用,系統",0,BPM平台系統,4,"[0.40110794 0.056327   0.05177069 0.16778232 0.01162085 0.01382325
 0.297568  ]"
151,"無法,上課,出現,Cannot,connect,to,server",4,SAP-168(QCI),6,"[0.05510736 0.00684518 0.00951706 0.01837341 0.6601528  0.22229253
 0.02771167]"
3315,"CAMP,會議室,預約,系統,無法,使用",0,BPM平台系統,1,"[0.39776245 0.05715007 0.05215108 0.16895191 0.01010806 0.01245291
 0.3014235 ]"
969,"薪資單,郵件,無法,開啟",4,SAP-168(QCI),6,"[0.02059597 0.00271047 0.00410207 0.00705263 0.7535033  0.20180155
 0.01023394]"
3331,"增加,218,T,Code,ZMPW1",0,BPM平台系統,5,"[0.45786217 0.03913042 0.03918948 0.13905478 0.03951131 0.031574
 0.25367785]"
1055,"GAMS,下,查詢,點選,以後,總表,中,網頁,要求,USER,點選,owc10,exe,owc10,exe,路徑,USER",4,SAP-168(QCI),6,"[3.1743245e-03 5.7768298e-04 9.9216704e-04 1.3217527e-03 8.3563644e-01
 1.5664488e-01 1.6528663e-03]"
3268,"第一次,使用,Orcad,選取,零件,時,紅色,symbol,正常,應該,綠色",0,BPM平台系統,3,"[0.462163   0.03543845 0.03638889 0.13029799 0.05661318 0.04073852
 0.23835988]"
2053,"無法,正常,使用,GAMS",4,SAP-168(QCI),6,"[0.10024591 0.01044756 0.01389519 0.03056744 0.57943106 0.2166264
 0.04878645]"
544,"user,反應,申,名片,時,部門,資訊,無法,對應",4,SAP-168(QCI),6,"[0.02529873 0.00380034 0.00556778 0.00931306 0.72744286 0.2154597
 0.01311754]"
5023,"詢問,NB,到,年限,換新,NB",4,SAP-168(QCI),6,"[0.02314868 0.00309744 0.00463638 0.00801522 0.74311936 0.20641606
 0.01156689]"
2287,"無法,logonSAP168,停,waiting,for,response,所有人,無法,logon",0,BPM平台系統,4,"[0.4222603  0.0504241  0.047502   0.15954594 0.01585267 0.01686502
 0.28754997]"
553,"已經,更改,298,路徑,依然,今天,突然,無法,登入,查明,原因",0,BPM平台系統,5,"[0.3928737  0.05880646 0.0537178  0.17072095 0.010619   0.01309769
 0.3001644 ]"
2615,"考績,系統,無法,操作",4,SAP-168(QCI),6,"[0.0326788  0.00410078 0.005984   0.01093511 0.7174456  0.21260495
 0.01625071]"
3767,"無法,連到,系統",0,BPM平台系統,6,"[0.42520154 0.04957093 0.04671746 0.15859774 0.01552548 0.01647679
 0.2879101 ]"
1536,"QSIT,BD6,專案,時間,變更,Create,Stage,Start,Date,更改為,120,End,Date,更改為,108",0,BPM平台系統,3,"[0.40594074 0.05614624 0.05245228 0.16523243 0.01632895 0.01798343
 0.28591597]"
3109,"出現,License,不足,無法,開啟,Pro,E,只,follow,Licenese,找尋,根冶,辦法",4,SAP-168(QCI),2,"[4.4966498e-03 7.2536612e-04 1.2273863e-03 1.7475941e-03 8.2748896e-01
 1.6204062e-01 2.2734937e-03]"
4826,"user,proE,問題",4,SAP-168(QCI),3,"[0.04063218 0.00476066 0.00685183 0.01312306 0.7009793  0.21374214
 0.01991078]"
1583,"成本,會計,課,ZFA2,欲,修改,單價,欄,小數點,位數,位,改至,位,相關,人員",0,BPM平台系統,4,"[0.36018834 0.06894354 0.06052078 0.181476   0.0065393  0.00960941
 0.3127226 ]"
746,"電腦,重灌,原本,win7,32bit,現在,64bit,重新,安裝,Orcad,軟體,連上,去,出現,unable,to,contact,license,server,開,檔案,前,先,連上,SSLVPN,目前,灌,版本,10,版,SOP,做,麻煩",0,BPM平台系統,3,"[0.33112553 0.08215485 0.07119314 0.19063713 0.00704709 0.01088651
 0.30695578]"
4461,"Pro,E,申,後,無法,安裝",4,SAP-168(QCI),2,"[0.2640967  0.02318384 0.02750701 0.07431943 0.3263938  0.15893246
 0.12556678]"
3340,"求,恊,助,行動,BPM,簽核",0,BPM平台系統,6,"[0.4520394  0.04214602 0.04131945 0.14546898 0.02804427 0.02467533
 0.26630652]"
1115,"無法,進入,sap",4,SAP-168(QCI),5,"[1.4379098e-03 2.1721389e-04 4.0159441e-04 5.5662676e-04 8.7240142e-01
 1.2428465e-01 7.0053572e-04]"
3226,"BD8,QSIT,QITS,Project,manager,Leader,變成,認識,人,原本,人,陳志豪,Stone,Chen",4,SAP-168(QCI),3,"[0.00837781 0.001422   0.00228214 0.0033183  0.79356676 0.18665336
 0.00437964]"
2715,"系統,操作,延遲,電池,衰退,電量,低於,一小時",4,SAP-168(QCI),0,"[0.0207537  0.00257738 0.00392081 0.00688743 0.75665313 0.19905181
 0.01015572]"
1786,"HP,guest,has,three,month,entry,permit,but,the,network,access,code,has,expired,ahead,of,time,vendor,name,HP,or,Top,Applicant,230,or,202,phone,num",0,BPM平台系統,6,"[0.35955724 0.07030502 0.06233282 0.18152617 0.00814365 0.01144634
 0.30668876]"
227,"假,作業,系統,無法,使用,出現,錯誤,訊息,BPMPortal,應用,程式,中,發生,伺服器,錯誤,編譯,錯誤,描述,資源,編譯,無法,完成,錯誤,發生,服務,要求,檢閱,下列,特定,錯誤,詳細,資料,並視,情況,修改,原始,程式碼,編譯,器,錯誤,訊息,CS0126,需要,轉換為,bool,型別,物件,原始,程式,錯誤,行,1787,行,1788,MasterPage,AlertMessage,確認,假,日期,格式,YYYYMMDD,Ex,101,行,1789,return,行,1790,行,1791,if,IsDate,txtEnddat,T,Trim,原始,程式,檔,c,inetpub,wwwroot,BPMPortal,Program,GWF062,GWF062,New,aspx,cs,行,1789",0,BPM平台系統,6,"[0.30393904 0.08848357 0.08546063 0.17218421 0.06146104 0.05997606
 0.22849548]"
3885,"USER,密碼,忘記,1742",4,SAP-168(QCI),5,"[0.03703548 0.00440376 0.0063833  0.01204592 0.70975155 0.21222082
 0.01815921]"
2458,"操作,使用,問題",4,SAP-168(QCI),0,"[2.5490865e-03 3.6874277e-04 6.5797509e-04 9.4525074e-04 8.5417515e-01
 1.4006399e-01 1.2398418e-03]"
2410,"無法,開啟,新資單,輸入,MSN,帳號,密碼",4,SAP-168(QCI),6,"[0.00910767 0.00134235 0.00215674 0.0033417  0.79785776 0.18162678
 0.00456695]"
3098,"hub,資料,排程,不法,自動,上傳,到,FTP",0,BPM平台系統,5,"[0.41275263 0.0530154  0.04932996 0.1634632  0.01321256 0.01490501
 0.2933213 ]"
3491,"系統,選單,是否,修改為,容易,識別,名稱,方便,使用,選取,預約,維修,設備,→,預約,維修,保養,校驗,設備",0,BPM平台系統,3,"[0.36375466 0.06798899 0.06038314 0.18027918 0.00803873 0.01122814
 0.3083272 ]"
3929,"The,error,message,showed,that,user,do,not,have,the,authority,to,access,the,system",0,BPM平台系統,4,"[0.40497467 0.03032705 0.03284179 0.10780076 0.14907944 0.0867193
 0.18825695]"
555,"出現,亂碼,包含,週邊,同事,同樣,問題",4,SAP-168(QCI),6,"[0.01005478 0.00146512 0.00234412 0.00364798 0.79354244 0.18392162
 0.00502385]"
742,"早上,開機,一個,license",4,SAP-168(QCI),3,"[0.00819016 0.00114253 0.00186776 0.0029075  0.8066632  0.17520005
 0.00402873]"
5292,"outlook,2010,無法,開啟,薪資,mail,之前,月份,以前,mail,開啟,發現,月份,無法,開啟,再,去,開啟,之前,開啟,月份,薪資,mail,發現,無法,開啟,它會,出現,busy,漏斗,outlook,當在",0,BPM平台系統,6,"[0.41561761 0.04380592 0.04484337 0.13800962 0.07356208 0.05412089
 0.23004048]"
2186,"詢問,Home,操作,問題,相關,人員",0,BPM平台系統,5,"[0.44009724 0.04561349 0.04403651 0.15132444 0.02321507 0.02189466
 0.27381858]"
1144,"user,反應,SAP218,無法,使用,相關,同仁",4,SAP-168(QCI),5,"[0.05773697 0.00705286 0.00976348 0.01896601 0.6554859  0.22222172
 0.02877302]"
5018,"早上,運作,正常,中午,回,座位,Power,有亮,螢幕,全黑,反應,重,開機,無效",0,BPM平台系統,2,"[0.44711715 0.04298649 0.04234254 0.14567494 0.03238079 0.02785239
 0.26164576]"
5306,"Tcode,帳號,申,權限,385",0,BPM平台系統,4,"[0.43738917 0.02879904 0.03100086 0.11021461 0.12149385 0.0711645
 0.19993798]"
1886,"部門,代號,密碼,無法,登入,SAP268,1759",4,SAP-168(QCI),5,"[0.03479618 0.00473061 0.00682274 0.01219021 0.7049569  0.21869211
 0.01781131]"
3433,"CAMP,無法,使用",4,SAP-168(QCI),1,"[0.0777946  0.00817824 0.01112319 0.02378534 0.62404746 0.21742181
 0.03764937]"
3897,"After,change,password,can,t,enter,GAMS,system",4,SAP-168(QCI),6,"[0.08151348 0.00981382 0.01314591 0.0266225  0.6043279  0.22376661
 0.04080978]"
625,"zv97,can,not,upload,zn34,download,file,格式,不符",0,BPM平台系統,4,"[0.29940552 0.02475099 0.02879518 0.08162856 0.28248563 0.14235215
 0.14058197]"
3870,"Create,Project,時,Platform,Chipset,下拉,選單,AMD,Richland,AMD,Kabini,麻煩,新增,AMD,Richland,資料,填入,已經,create,project,BD8",4,SAP-168(QCI),3,"[0.11960759 0.01915949 0.02413585 0.04517053 0.49730286 0.22911249
 0.06551123]"
4382,"T,Code,ZMI2,ZMI1,無法,列印",0,BPM平台系統,4,"[0.45327958 0.04125889 0.04087289 0.14312148 0.0330521  0.02791165
 0.26050338]"
1057,"USER,使用,SAP298,T,Code,ZC27,反應,工單,單價,CO03,資料,相關,人員",0,BPM平台系統,5,"[0.4345757  0.03133764 0.03344595 0.11512441 0.11191447 0.06848944
 0.20511228]"
534,"238,SD,issue",0,BPM平台系統,5,"[0.42648458 0.0267345  0.029157   0.10364539 0.14445454 0.08038042
 0.18914358]"
5442,"詢問,使用,ProE,Viewer,程式,瀏覽",0,BPM平台系統,2,"[0.4179911  0.02793453 0.03040256 0.10555643 0.14571492 0.0826918
 0.18970872]"
932,"Can,t,use,gams",4,SAP-168(QCI),6,"[0.06504066 0.00750568 0.01034522 0.02085375 0.64297163 0.22105466
 0.03222845]"
4620,"user,go,BOM,當掉,重跑,重複,問題",4,SAP-168(QCI),5,"[0.04011961 0.00499381 0.00714876 0.01334917 0.6971961  0.21723576
 0.01995687]"
2387,"Payment,term,QT,跨,月,解,目前,系,user,要求,上月,26,日至,本月,25,日,付款,行,算,差,跨,月,算上,助解",0,BPM平台系統,5,"[0.37121746 0.06575541 0.05853586 0.17833516 0.00811011 0.01111316
 0.30693284]"
4098,"user,反應,Pro,E,SOP,操作,無法,順利,連線,問過,同事,沒遇,過此,狀況",4,SAP-168(QCI),3,"[0.00840395 0.00137562 0.00220842 0.00324859 0.7966199  0.18382604
 0.00431759]"
3562,"298,無法,login",4,SAP-168(QCI),5,"[0.01886203 0.00240701 0.0036884  0.00635934 0.7619582  0.19744845
 0.0092766 ]"
5407,"down,BOM,down,下來",0,BPM平台系統,4,"[0.45165753 0.04213862 0.04135568 0.14527552 0.02862772 0.02511998
 0.265825  ]"
5383,"user,is,not,able,to,install,Pro,E",4,SAP-168(QCI),2,"[0.00790986 0.00117016 0.00190749 0.00289575 0.8051987  0.17696191
 0.00395602]"
764,"ProE,打不開,顯示,unknown,license,error",4,SAP-168(QCI),2,"[0.00988171 0.00139397 0.00223753 0.00352464 0.79607147 0.18198213
 0.00490852]"
3044,"Allegro,Concept,抓不到,LICENSE,已,確認,LICENSE,空閒,抓不到,之前,發生,類似,情形,確認,LICENSE,權限,是否,開啟,電腦,名稱,AN7825",0,BPM平台系統,3,"[0.3774621  0.06513046 0.05912896 0.17571652 0.01135263 0.0143051
 0.29690424]"
4283,"CSAP21,can,not,connet",0,BPM平台系統,4,"[0.45457357 0.04106767 0.04053183 0.14348885 0.03069318 0.02622407
 0.26342085]"
4162,"財務部,成本,會計,課,操作,SAP168,系統,T,code,ZFA2,時,應有,筆,過關,實際,只過,筆,GR,第一項,0001,要求,拿掉,table,相關,人員",0,BPM平台系統,4,"[0.38485923 0.03468172 0.03727956 0.11318902 0.14874919 0.09164474
 0.18959653]"
1090,"268,里,一张,PO,已经,收料,但币,别错,财务本,将,GR,回冲后,修改,币别,现在,发现,币别,修改,我们,注意到,因为,做,GR,做,回冲,两个,时间,点,汇率,变化,PO,History,显示,两次,外币,金额,我们,建议,请,User,重新,开,PO,这是,下策,请,教,一下,QCI,MIS,没,碰到,过类,似,情况,无,好,解决,办法",0,BPM平台系統,5,"[0.336883   0.07959805 0.06935766 0.18970487 0.00782849 0.01165045
 0.30497736]"
416,"無法,登入,SAP",4,SAP-168(QCI),5,"[1.5413909e-03 2.3290773e-04 4.2836391e-04 5.9532019e-04 8.7001723e-01
 1.2643236e-01 7.5239915e-04]"
1957,"我想問,一下,有沒有,辦法,查,31BQ2MB0071,SAP,BOM,物料,刷,缺料,表,發現,幾個料,明明,缺料,狀態,缺料,表中,並未,出現,確認,一下,PLM,BOM,SAP,BOM,是否,差異,RD,權限,查,SAP,BOM,是否,SAP,完整,操作,手冊,可供,下載,事先,查,許多,料況,不用,等待,生產線,時間,允許",4,SAP-168(QCI),5,"[3.1547514e-03 7.1505579e-04 1.2067573e-03 1.4688813e-03 8.2650983e-01
 1.6520435e-01 1.7402672e-03]"
3873,"收發,反應,無法,使用,系統,查詢,號碼,聯絡",0,BPM平台系統,6,"[0.4552351  0.03455503 0.03585431 0.12680377 0.07012884 0.04805889
 0.22936414]"
4213,"user,WIP,相關,問題",0,BPM平台系統,4,"[0.3755851  0.02569949 0.02882619 0.09382869 0.20097232 0.10648594
 0.1686022 ]"
1897,"QITS,人,首頁,無法,正常,顯示,使用,Search,頁面,查得,issue,後,點擊,issue,number,無法,顯示,issue,內容",4,SAP-168(QCI),3,"[0.08526755 0.0141722  0.01834656 0.03266083 0.56690407 0.2362024
 0.04644644]"
2311,"user,反應,BOM,Cost,權限,突然,無法,使用,檢查",0,BPM平台系統,4,"[0.434632   0.04694064 0.04522522 0.15314569 0.02319007 0.0221302
 0.2747361 ]"
4059,"EC,執行,ZW19,無法,comfirm,到,EC,數量",0,BPM平台系統,4,"[0.39695287 0.0573838  0.05230328 0.16944928 0.00999532 0.012368
 0.30154747]"
3013,"系統,設定,User,系統,管理,變更,預約,日期,時會發,Mail,通知,User,管理,現,發生,通知,Mail,日期,顯示,錯誤,並未,正確,顯示,變更,日期,時間,修正",0,BPM平台系統,3,"[0.3532699  0.07351639 0.06543868 0.1836097  0.00961491 0.01314225
 0.30140814]"
4403,"預約,會議室,系統,網頁,顯示,異常",0,BPM平台系統,6,"[0.40504628 0.05522634 0.05092402 0.16626291 0.01164492 0.01371809
 0.29717743]"
794,"SAP,34,無法,登入",4,SAP-168(QCI),5,"[1.6434490e-03 2.4742505e-04 4.5376731e-04 6.3211669e-04 8.6806428e-01
 1.2815611e-01 8.0277264e-04]"
468,"詢問,sharepoint,使用,方式",4,SAP-168(QCI),3,"[0.09308311 0.00960278 0.012866   0.02814526 0.5951345  0.21625029
 0.04491801]"
5170,"沒辦法,申",0,BPM平台系統,6,"[0.4517226  0.04201574 0.04117844 0.14562589 0.02777077 0.02447405
 0.26721254]"
2170,"I2,System,月份,數量,全,消失,更改,麻煩",0,BPM平台系統,4,"[0.4073835  0.05486765 0.05072397 0.16552007 0.01244406 0.01440554
 0.2946552 ]"
4323,"廣達,首頁,左列,MeetingPlace,進入,會議室,系統,要求,輸入,帳密,輸入,工號,開機,密碼,後,無法,登入",4,SAP-168(QCI),6,"[0.00827204 0.00152907 0.00242902 0.00343113 0.7904292  0.18950137
 0.0044082 ]"
4879,"進入,BPM,後,所有,表單,變成,英文字,問要,設定,回復,中文,介面",4,SAP-168(QCI),0,"[0.17002077 0.01947892 0.02413598 0.05503565 0.44295335 0.201913
 0.08646233]"
3464,"USR,無法,列印,5168",0,BPM平台系統,4,"[0.4469802  0.04369424 0.04240796 0.1486434  0.02377137 0.02193912
 0.27256367]"
3095,"orcad,所申,電腦,名稱,目前,使用,電腦,名稱,確定,導致,orcad,無法,使用",0,BPM平台系統,3,"[0.435815   0.04647561 0.04528929 0.15087496 0.02710558 0.02495365
 0.26948592]"
2107,"ZFKR,中,需求,提供,一個,對外,credit,型式,方便,提供給,客戶,73",4,SAP-168(QCI),5,"[0.01577484 0.00233343 0.00359762 0.00573695 0.76393193 0.20061275
 0.00801249]"
5161,,4,SAP-168(QCI),5,"[0.09535533 0.00910655 0.01223846 0.02765816 0.5982892  0.21236074
 0.04499162]"
4419,"PRO,E,無法,打開",4,SAP-168(QCI),2,"[0.01603259 0.00215765 0.00333832 0.00556935 0.76974595 0.1951919
 0.00796426]"
272,"ZP6K,Issue",0,BPM平台系統,5,"[0.46121258 0.03859798 0.03866211 0.13845818 0.03812581 0.03047024
 0.2544732 ]"
4938,"列印,領料,無法,列印",0,BPM平台系統,4,"[0.45587477 0.04091027 0.04047177 0.14257468 0.03237829 0.02732828
 0.26046187]"
336,"mro,無法,簽單",4,SAP-168(QCI),0,"[0.1523487  0.01449397 0.01844931 0.04455673 0.49472842 0.20238835
 0.07303458]"
1599,"使用,BPM,系統,MRO,申單,結標,時,出現,Error",4,SAP-168(QCI),0,"[0.02304495 0.00320018 0.00477639 0.00811495 0.74051785 0.20865978
 0.01168589]"
4828,"新增,citrix,帳號",0,BPM平台系統,4,"[0.4478667  0.0297177  0.03175349 0.11429923 0.10438121 0.06326064
 0.20872092]"
286,"新增,退料,系統,顯示,無此,機種,名稱,T,Code,ZMI1H",0,BPM平台系統,4,"[0.37020323 0.06538817 0.05822119 0.17791739 0.00746407 0.01043196
 0.310374  ]"
4510,"user,反應,庫存,資料,正確,連繫,1273",4,SAP-168(QCI),5,"[0.04372802 0.00570797 0.00808229 0.01489812 0.684378   0.221208
 0.02199752]"
4385,"是否,一次性,大量,刪除,Device,資訊",0,BPM平台系統,3,"[0.33678097 0.02544272 0.02905782 0.08849827 0.2401258  0.1246487
 0.15544568]"
5449,"ECN,E9,4407,生效,后,GAOVC2MB6G4,应由,IE,状态,转为,FR,状态,目前,此料,为,IE,状态",4,SAP-168(QCI),5,"[0.20820844 0.02104567 0.02558063 0.06315615 0.3939093  0.18557759
 0.10252225]"
1219,"重慶,下單,人員,反應,有少數,訂單,系統,自動,取消,問題,查,一下,原因,Thanks,進入,SAP,使用,T,code,ZV14,下載,Order,Balance,Report,Plant,CQ2A,Sales,Org,S7Q1,勾選,V,Including,Balance,只查,未,出貨,話,不選,勾選,V,Sort,by,Material,勾選,V,Created,by,EDI,勾選,V,SO,TYPE,得出,Order,Balance,Report,發現,PO,砍單,後方,出現,c,KUR,c,POMKJ,5EXO,c,下單,人員,Kathy,確認,後,KUR,這張,訂單,她並,砍單,手動,訂單,改回來,下單,人員,Eagle,確認,後,POMKJ,5EXO,這張,訂單,砍單,先,保留,資料,別動,MIS,調查,原因,聽說,類似,系統,自動,砍單,狀況,發生,過幾次,調查,一下,需要,檔案,話,聯絡,Thanks",0,BPM平台系統,4,"[0.24354044 0.13185894 0.12052581 0.19439031 0.03386154 0.04405185
 0.2317712 ]"
4628,"User,PLM,系統,無法,登入",4,SAP-168(QCI),2,"[0.08224116 0.00936135 0.01260778 0.02627858 0.60776347 0.22093037
 0.04081737]"
