,1_sentence,2_sentence,3_y_predict,4_y_predict_name,5_answer,6_answer,7_y_predict_probability
6096,登入觀看公司線上課程後當掉，無法再連上。由於需再處理其他事務，需盡快處理。  分機：16383,"網管,QCO,雲端,連線,無法登入,登入,觀看,公司,課程,當掉,無法,連上,事務",7,VPN連線,3,QCO,"[0.00167257 0.00124101 0.01937605 0.10727736 0.00100318 0.00204337
 0.00246502 0.25526327 0.0103738  0.00136265 0.00246575 0.02840842
 0.20733263 0.02298902 0.00187993 0.00595143 0.2530341  0.07586043]"
9894,在家用自己電腦聯公司網路，BPM 都無法連上 #13320,"網管,VPN,連線,SSLVPN,無法登入,家用電腦,公司,網路,BPM,無法,連上",8,作業系統與印表機,7,VPN連線,"[1.2352620e-04 5.7160640e-05 2.1923187e-03 5.5549592e-03 7.2275943e-05
 2.7609791e-04 2.5868570e-04 8.4864488e-03 8.9015377e-01 2.1634149e-04
 3.0352531e-03 1.7221604e-03 5.7395766e-03 2.7809136e-03 6.8290852e-02
 1.0898223e-03 6.2375790e-03 3.7122029e-03]"
9395,http://www.qnx.com/   對外ip 60.251.236.1212可以登入客戶網域  但是其他同仁ip 203.75.58.49,"網管,網路,無法,連到,某台,Server,無法,連到,Server,對外,ip,60.251,236.1212,登入,客戶,網域,同仁,ip,203.75,58.49",8,作業系統與印表機,14,網路,"[0.00130385 0.0007014  0.00909615 0.02761791 0.00074309 0.00241326
 0.00144819 0.03133544 0.61487913 0.00145579 0.05278217 0.00805091
 0.0334583  0.02192819 0.12485394 0.00646975 0.02411552 0.03734696]"
11156,"使用者反應無法開啟薪資單郵件, 請協處!","網管,解密,郵件,文件,加密,郵件,打不開,無法開啟,薪資單,無法開啟,薪資單,郵件",16,連網頁/Skype,11,加解密郵件/文件,"[0.00139001 0.00313651 0.18966013 0.14095704 0.00251902 0.00179846
 0.00403674 0.1102065  0.01875263 0.00182543 0.00244844 0.08530094
 0.13283712 0.01395169 0.00334726 0.00950508 0.24186836 0.03645869]"
5737,本機網路 (不管是IE 或是Chrome) 無法連上下列Intel網站 (工作上需要)。QCO可以連上，但是有些功能需要使用本機端的Chrome瀏覽器才能進行。  謝謝!    https://platformsw.intel.com/home.aspx  https://premiersupport.intel.com/    錯誤訊息如下：  無法顯示此網頁  開啟 [進階] 設定中的 TLS 1.0、TLS 1.1 與 TLS 1.2，然後再嘗試重新連線到 https://platformsw.intel.com 。如果持續發生此錯誤，可能是因為此網站使用不支援的通訊協定或加密套件，例如 RC4 (詳細資料的連結)，而這是不安全的。請連絡您的網站系統管理員。,"網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,本機,網路,IE,Chrome,無法,連列,In,工作,需要,QCO,連上,功能,使用,本機端,Chrome,瀏覽器,進行,錯誤訊息,無法顯示,網頁,開啟,進階,設定,TLS,1.0,TLS,1.1,TLS,1.2,嘗試,連線到,持續,發生,錯誤,網站,使用,支援,通訊,協定,加密,套件,RC4,詳細,資料,連結,這是,安全,網站,系統,管理員",14,網路,16,連網頁/Skype,"[0.00260471 0.00117447 0.02461219 0.02982617 0.00230737 0.00642472
 0.00202805 0.01149822 0.14356752 0.0027834  0.11272209 0.00697791
 0.046271   0.0248324  0.5195979  0.0043636  0.01232756 0.04608066]"
14964,需安裝外部軟體連出公司網外至客戶伺服器內，於下載安裝顯示於法連入外網，無法安裝,"網管,網路,無法,連到,某台,Server,無法,連到,Server,安裝,外部,軟體,連出,公司,網外,客戶,伺服器,下載,安裝,顯示,法連入,外網,無法安裝",8,作業系統與印表機,14,網路,"[8.5104565e-04 4.7689601e-04 7.3896851e-03 2.2063870e-02 4.7516564e-04
 1.6514707e-03 1.1524030e-03 2.7069246e-02 6.9300967e-01 1.0704348e-03
 3.0885236e-02 6.5357066e-03 2.5431132e-02 1.4221573e-02 1.1584626e-01
 5.0757038e-03 2.1073580e-02 2.5720885e-02]"
14705,Open VPN 無法安裝,"網管,VPN,連線,SSLVPN,無法登入,Open,VPN,無法安裝",8,作業系統與印表機,7,VPN連線,"[4.5205692e-05 3.3432811e-05 8.8845828e-04 1.3337256e-03 3.4081029e-05
 1.3582177e-04 1.4058485e-04 3.3283322e-03 9.7088379e-01 8.6309701e-05
 1.2670835e-03 7.8747066e-04 2.8821460e-03 1.0751022e-03 1.0531504e-02
 4.8395761e-04 4.4966759e-03 1.5661999e-03]"
5528,可以收發信，但網頁無法連上。,"網管,網頁,Skype,無法,上網,上網,發信,網頁,無法,連上",12,商務用Skype,16,連網頁/Skype,"[0.00271783 0.00146391 0.01170441 0.01533403 0.00130504 0.00535524
 0.00162895 0.05914187 0.10892249 0.00226223 0.07131275 0.01536499
 0.28249314 0.06365023 0.00578656 0.00722643 0.0917917  0.2525382 ]"
19251,無法取得正確的IP  IP位置顯示 169.254.1.221  使用其他同仁的網路孔是正常的,"網管,網路,電腦網路,無法,取得,IP,無法,取得,正確,IP,IP,位置,顯示,169.254,1.221,使用,同仁,網路,孔是,正常",12,商務用Skype,14,網路,"[0.00185485 0.00151866 0.01384351 0.02219693 0.00143813 0.00351515
 0.00231065 0.07674066 0.04410429 0.00219031 0.01677405 0.03939451
 0.36967647 0.03226922 0.00439098 0.00997573 0.17503844 0.18276744]"
11429,內/外網不能連線,"網管,網頁,Skype,無法,上網,上網,外網,連線",12,商務用Skype,16,連網頁/Skype,"[0.00228853 0.00123066 0.01089179 0.0141256  0.00106113 0.00450471
 0.00145196 0.0611573  0.08322882 0.00196332 0.04397403 0.01660903
 0.32690817 0.05044363 0.00452579 0.0068686  0.10965842 0.2591085 ]"
9784,登入卡在歡迎頁面無法進入  分機:11031,"網管,QCO,雲端,連線,無法登入,登入,歡迎,頁面,無法進入",12,商務用Skype,3,QCO,"[0.00246169 0.00192081 0.02705111 0.10357524 0.0013011  0.00273151
 0.0024626  0.21197541 0.01597692 0.00220862 0.01192259 0.02994961
 0.2975576  0.04258649 0.00316215 0.00555712 0.11264174 0.12495771]"
12160,"工作機會不定時出現""檢查防毒保護""的訊息出現","網管,電腦,防毒,防毒,軟體,操作,防毒,工作,機會時,出現,檢查,防毒,保護,訊息,出現",12,商務用Skype,17,電腦防毒,"[0.00253972 0.0014581  0.01249488 0.01642138 0.00142151 0.00469809
 0.00184765 0.06898142 0.06426311 0.00217962 0.03529556 0.02071259
 0.3289841  0.05339297 0.00432409 0.00772577 0.13277517 0.24048421]"
9243,一直跳出輸入Proxy/密碼，取消後跳出以下訊息  The following error was encountered while trying to retrieve the URL: http://www.msn.com/?ocid=iehp 快取伺服器存取被拒絕 抱歉，您不被允許透過我們這個網路快取伺服器傳回下列位置 http://www.msn.com/?ocid=iehp 除非您通過了我們的身份驗證。 Please contact the cache administrator if you have difficulties authenticating yourself.,"網管,網頁,Skype,無法,上網,出現,拒絕,訊息,跳出,輸入,Proxy,密碼,取消,跳出,訊息,The,following,error,was,encountered,wle,trying,to,retrieve,URL,快取,伺服器,存取,拒絕,抱歉,允許,透過,網路,快取,伺服器,傳回,下列,位置,身份,驗證,Please,contact,cache,administrator,if,you,have,difficulties,authenticating,yourself",10,其他,16,連網頁/Skype,"[0.00587622 0.00358993 0.02067475 0.0210417  0.00396004 0.01068967
 0.00366576 0.0386655  0.14778595 0.00498232 0.21214631 0.01674948
 0.13736203 0.11913661 0.01335192 0.01004573 0.05906273 0.17121343]"
5155,連結客戶的網頁顯示以下訊息，但是跟同事確認過其他人都可以連上    無法連上這個網站  https://infra.amazon.com/ 的網頁可能暫時無法使用或被永久移至新網址。  ERR_TUNNEL_CONNECTION_FAILED,"網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,連結,客戶,網頁,顯示,訊息,同事,確認,過人,連上,無法,連上,網站,網頁,暫時,無法使用,永久,移至,網址,ERR,TUNNEL,CONNECTION,FAILED",8,作業系統與印表機,16,連網頁/Skype,"[0.00242927 0.00160224 0.01001907 0.01586555 0.00146143 0.00535157
 0.0023296  0.03920219 0.55547756 0.00200795 0.09209686 0.01041628
 0.06812739 0.03345574 0.02780967 0.00902906 0.04225513 0.0810634 ]"
2341,"已按照步驟安裝open VPN, 啟動VPN後, 右下角也有出現小圖案, 但點擊後卻無反應","網管,VPN,連線,SSLVPN,無法登入,步驟,安裝,open,VPN,啟動,VPN,右下,出現,圖案,點擊,反應",8,作業系統與印表機,7,VPN連線,"[1.8336863e-04 1.5160024e-04 2.7521129e-03 4.9153883e-03 1.1137068e-04
 4.7385541e-04 4.9600814e-04 1.3298066e-02 9.0495908e-01 2.9995100e-04
 3.9192690e-03 2.9442699e-03 9.2899762e-03 2.9506171e-03 2.8300900e-02
 2.0478461e-03 1.6072871e-02 6.8335338e-03]"
4482,登入雲端，進入MyBPM，表單查詢，無法查詢之前送出表單。,"網管,QCO,雲端,連線,登入,畫面,登入,雲端,進入,My,BPM,表單,查詢,無法,查詢,送出,表單",16,連網頁/Skype,3,QCO,"[0.00151252 0.00253402 0.04970949 0.07243156 0.00182608 0.00291804
 0.0038996  0.12690614 0.02006797 0.00180953 0.00237091 0.06309882
 0.1830481  0.01416321 0.00245956 0.01045536 0.3835944  0.05719464]"
14848,防毒無法更新,"網管,電腦,防毒,防毒,軟體,操作,防毒,防毒,無法",12,商務用Skype,17,電腦防毒,"[0.00253009 0.00139306 0.01685608 0.02072352 0.00153432 0.00416791
 0.00182716 0.08169754 0.03934482 0.00205318 0.01833219 0.02783324
 0.3408015  0.05151264 0.00295429 0.00652353 0.17886953 0.20104547]"
5581,ie出不來,"網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,ie,出不來",8,作業系統與印表機,16,連網頁/Skype,"[3.1937449e-04 2.9241981e-04 4.4947928e-03 6.9120554e-03 1.7716750e-04
 7.0145598e-04 7.8124140e-04 2.2263618e-02 8.5280693e-01 4.3518373e-04
 5.1576053e-03 5.0615994e-03 1.6122829e-02 3.7722131e-03 3.6023092e-02
 3.4075617e-03 2.8910032e-02 1.2360822e-02]"
6528,一直卡在登出畫面,"網管,QCO,雲端,連線,無法登入,登出,畫面",12,商務用Skype,3,QCO,"[0.0017755  0.00113661 0.01739001 0.03142344 0.00102906 0.00263535
 0.00159762 0.11937661 0.01981105 0.00158086 0.00470004 0.02951622
 0.37079716 0.0243556  0.00213591 0.00585909 0.24287763 0.12200222]"
8161,離職同事信箱未被刪除，請協助刪除，離職員工工號10201042,"網管,Outlook,郵件,Outlook,離職,同事,信箱,刪除,刪除,離職",3,QCO,2,Outlook與郵件,"[5.37683605e-04 1.15049607e-03 1.01580836e-01 8.30910921e-01
 4.13696020e-04 3.88390210e-04 8.78903607e-04 1.82640422e-02
 2.45492416e-03 9.15896730e-04 4.56148200e-03 7.64531968e-03
 1.07920803e-02 4.04029712e-03 6.22828677e-03 6.41531195e-04
 4.90304735e-03 3.69221298e-03]"
17118,內部server ip不通    MIS您好，我們部門有自行架設一部 Linux server，做為程式碼管理之用，其IP為10.241.57.11。目前其他電腦皆無法和該server建立連線，從server本地登入，也無法連線至其他已知正常的電腦。經自行檢測，若server的網路線與其他電腦直接用網路線對接，可以正常運作，顯示server本身的網路卡和網路線應該沒有問題。希望MIS可以協助檢測網路狀態，謝謝。    網路孔編號: PP19 D356,"網管,網路,電腦網路,網路,QRDC,內部,server,ip,不通,MIS,部門,自行,架設,一部,Linux,server,做為,程式碼,管理,之用,IP,10.241,57.11,目前,電腦,無法,server,建立,連線,server,本地,登入,無法,連線至,正常,電腦,自行,檢測,server,網路線,電腦,直接,網路線,正常,運作,顯示,server,網路卡,網路線,應該,希望,MIS,檢測,網路,狀態,網路,編號,PP19,D356",10,其他,14,網路,"[0.00585842 0.00235395 0.03883443 0.02923951 0.00335528 0.01183584
 0.00315986 0.02397016 0.20072477 0.0055709  0.23591028 0.01291216
 0.08295093 0.10761584 0.08849042 0.00832617 0.02861361 0.11027756]"
15591,"1.  dropbox這幾天一直跳出proxy設定異常  2. 網路不穩定,qco使用正常,本基開網頁很常異常","網管,硬體,諮詢,硬體,改填,NB,檢測,硬體,諮詢,硬體,改填,NB,檢測,dropbox,這幾天,跳出,proxy,設定,異常,網路,穩定,qco,使用,正常,本基開,網頁,異常",8,作業系統與印表機,10,其他,"[5.4167368e-04 5.2126986e-04 3.2005995e-03 8.9724986e-03 4.6758429e-04
 1.3218897e-03 9.1180165e-04 1.2570557e-02 8.3318681e-01 7.5870723e-04
 5.4518890e-02 3.2466762e-03 1.4934968e-02 1.0659655e-02 2.5414741e-02
 2.8512815e-03 9.8469593e-03 1.6073557e-02]"
12417,"開關機速度變很慢, 新增資料夾很久才會有反應  分機: 17930","網管,電腦,防毒,電腦病毒,電腦中毒,關機,速度,很慢,新增,資料夾,很久,反應",12,商務用Skype,17,電腦防毒,"[0.00306568 0.00172866 0.01680263 0.02031437 0.00193017 0.00519171
 0.00211996 0.07107469 0.05906288 0.00256071 0.04059835 0.02487641
 0.3027918  0.07128494 0.00422048 0.00715621 0.13807735 0.22714311]"
12641,分機: 17727  問題: 連到microsoft提供的網址被要求輸入公司網域帳密，輸入後仍無效。,"網管,檔案,共用,FTP,FTP,連線,下載,無法,連到,外部,FTP,連到,microsoft,提供,網址,要求,輸入,公司,網域,帳密,輸入,無效",12,商務用Skype,13,檔案共用或FTP,"[0.00262047 0.00158226 0.01278618 0.02505694 0.00154153 0.00510914
 0.00220077 0.06621714 0.11902063 0.00275111 0.06832898 0.02455858
 0.28185257 0.05894181 0.01213828 0.00966977 0.09379204 0.21183181]"
8853,因工作需求，須使用google的雲端硬碟單機版功能，安裝完後無連線反應。分機：12639,"網管,檔案,共用,FTP,FTP,連線,下載,無法,連到,外部,FTP,工作,需求,使用,google,雲端,硬碟,單機版,功能,裝完,連線",12,商務用Skype,13,檔案共用或FTP,"[0.00232653 0.00162198 0.01336212 0.01859806 0.00155834 0.00443566
 0.00215458 0.07163303 0.04570942 0.00214219 0.02077071 0.0297061
 0.34976545 0.04111622 0.00362419 0.00849599 0.17500447 0.20797496]"
5430,#18610  使用 IE 連客戶網站，彈出安全性警告無法瀏覽,"網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,使用,IE,客戶,網站,彈出,安全性,警告,無法,瀏覽",12,商務用Skype,16,連網頁/Skype,"[0.00299199 0.00173241 0.01173227 0.01647675 0.00157156 0.00611444
 0.00189924 0.05308041 0.11333529 0.00253685 0.08928079 0.01649384
 0.26076835 0.0703999  0.00680671 0.0079247  0.08958858 0.24726592]"
3032,#12373  工作機一直出現Proxy要輸入帳號密碼,"網管,硬體,諮詢,硬體,改填,NB,檢測,硬體,諮詢,硬體,改填,NB,檢測,工作,出現,Proxy,輸入,帳號,密碼",8,作業系統與印表機,10,其他,"[0.00094908 0.00094639 0.00398582 0.01756562 0.0008025  0.00229628
 0.00134626 0.01908318 0.6725294  0.00134507 0.14527403 0.0048671
 0.02424613 0.02168155 0.03984715 0.00410189 0.0106047  0.02852796]"
15533,每開一次網頁就會出現被拒絕的訊息，Proxy設定怪怪的，每次開IE都要進去將勾勾取消掉，才能開IE,"網管,網頁,Skype,無法,上網,出現,拒絕,訊息,每開,一次,網頁,出現,拒絕,訊息,Proxy,設定,怪怪,每次,IE,要將,勾勾,消掉,IE",8,作業系統與印表機,16,連網頁/Skype,"[0.00288687 0.00146035 0.0118754  0.02316933 0.00152055 0.00653677
 0.00227423 0.0515417  0.38376144 0.0023473  0.08683442 0.01560614
 0.13573706 0.04435108 0.02666033 0.00982689 0.05734007 0.13627008]"
12122,fail to access Internet via proxy,"網管,網頁,Skype,無法,上網,上網,fail,to,access,Internet,via,proxy",17,電腦防毒,16,連網頁/Skype,"[0.00292241 0.00160136 0.01147638 0.01531169 0.00138788 0.00621338
 0.00167603 0.05082143 0.14661953 0.00236685 0.11163718 0.01342112
 0.23841128 0.07074115 0.00704992 0.00717137 0.07200781 0.23916318]"
8070,"會議室B 的投機影無法跟電腦連線上, 但等下客人會來開會, 需要及時處理","網管,視訊會議,設備,操作,使用,無法,連上,會議室,投機,無法,電腦連線,客人,會來,開會,及時",12,商務用Skype,15,視訊會議設備,"[0.00207722 0.00136755 0.01118814 0.01394555 0.0011933  0.00408501
 0.00171315 0.06162998 0.05446598 0.0019447  0.02718979 0.02261365
 0.36905888 0.03862629 0.00372378 0.00828862 0.13482548 0.242063  ]"
5050,"出差三天後進公司, OS 可登入, 並有正常PIS訊息  但連接  MyQuanta  則無法連線...請協助","網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,出差,三天後進,公司,OS,登入,正常,PIS,訊息,連接,MyQuanta,無法,連線",12,商務用Skype,16,連網頁/Skype,"[0.00204905 0.00153533 0.01335695 0.01569652 0.00135071 0.00419299
 0.00204859 0.06636945 0.04476677 0.0019644  0.01694246 0.02933122
 0.36710858 0.03406738 0.00335933 0.00889127 0.17593987 0.21102911]"
8978,#12960  主管出差在國外，無法執行安裝vpn。請IT同仁協助。,"網管,VPN,連線,SSLVPN,無法登入,主管,出差,國外,無法,執行,安裝,vpn,IT,同仁",8,作業系統與印表機,7,VPN連線,"[4.9681100e-04 3.9906122e-04 7.2181928e-03 1.1490081e-02 2.5531201e-04
 9.2658243e-04 1.1332367e-03 3.1948093e-02 7.7300644e-01 6.4903701e-04
 7.0868656e-03 7.5365617e-03 2.3522150e-02 5.0018257e-03 6.7039475e-02
 5.0591156e-03 3.8885497e-02 1.8345652e-02]"
12518,"電腦顯示找不到防毒軟體, 請協助處理.","網管,電腦,防毒,防毒,軟體,操作,防毒,電腦,顯示,找不到,防毒,軟體",12,商務用Skype,17,電腦防毒,"[0.00287466 0.00157077 0.01688857 0.01996115 0.0017613  0.0048091
 0.00203285 0.07554027 0.05346027 0.00238719 0.03137035 0.0253858
 0.31865126 0.06436764 0.00383409 0.00697855 0.14777938 0.22034675]"
5264,帳號密碼無法登入遠端連線，請幫忙看看。,"網管,硬體,諮詢,硬體,改填,NB,檢測,硬體,諮詢,硬體,改填,NB,檢測,帳號,密碼,無法登入,遠端,連線",8,作業系統與印表機,10,其他,"[7.0200249e-04 7.3838723e-04 3.1654844e-03 1.5530002e-02 6.7215919e-04
 1.7524858e-03 1.0697580e-03 1.5260274e-02 7.2446442e-01 1.0980956e-03
 1.2366196e-01 3.8997740e-03 1.9542880e-02 1.6609404e-02 3.9559290e-02
 3.1644509e-03 7.8768767e-03 2.1232378e-02]"
10503,同部門很多人都無法登入,"網管,QCO,雲端,連線,無法登入,部門,無法登入",12,商務用Skype,3,QCO,"[0.00248168 0.00235772 0.03457133 0.14344408 0.00133127 0.00263788
 0.00271229 0.2265524  0.01754248 0.00240759 0.01624775 0.03189133
 0.2650028  0.04408279 0.00401162 0.00543373 0.08758388 0.10970729]"
6788,VPN無法連線。,"網管,VPN,連線,SSLVPN,無法登入,VPN,無法,連線",8,作業系統與印表機,7,VPN連線,"[6.2024388e-05 3.7223912e-05 1.1869520e-03 2.2141489e-03 4.0456725e-05
 1.6976889e-04 1.7731983e-04 4.8651057e-03 9.5600444e-01 1.1202444e-04
 1.4185662e-03 1.0492331e-03 3.7883972e-03 1.4370395e-03 1.9005658e-02
 6.4406375e-04 5.7888897e-03 1.9986720e-03]"
2036,使用雲端  但在雲端中使用PMS登入後選取專案就會跑不出來 (網頁變成空白)，但在本機使用正常。  在雲端使用客戶PLM也無法查詢，跑不出東西。  這個狀況不論是在公司使用本0機0上雲端 (連接網路線) 或是在家中使用其它電腦以無線網路上雲端都會出現。,"網管,網路,無法,連到,某台,Server,無法,連到,Server,使用,雲端,雲端,使用,PMS,登入,選取,專案,網頁,變成,空白,本機,使用,正常,雲端,使用,客戶,PLM,無法,查詢,不出,東西,狀況,公司,使用,雲端,連接,網路線,用電,腦以,無線網路,雲端,出現",12,商務用Skype,14,網路,"[0.00485823 0.00325569 0.0220464  0.02953905 0.00328057 0.0091373
 0.00390074 0.05927804 0.11789508 0.00472792 0.10748657 0.02711489
 0.21009059 0.09423275 0.01418574 0.01118672 0.09554407 0.18223965]"
10577,無法連到CAMP網頁 #15246,"網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,無法,連到,CAMP,網頁",8,作業系統與印表機,16,連網頁/Skype,"[6.3332322e-05 5.6045843e-05 1.0493100e-03 1.6272821e-03 4.9307837e-05
 1.8144607e-04 2.0721949e-04 4.9805306e-03 9.6371734e-01 1.2498038e-04
 1.9294288e-03 1.0760669e-03 3.7364007e-03 1.3749527e-03 1.0800628e-02
 7.6542422e-04 5.8472003e-03 2.4132493e-03]"
5964,"連內網成功,  連外網連不出去","網管,網頁,Skype,無法,上網,上網,連內網,成功,連外,網連",12,商務用Skype,16,連網頁/Skype,"[0.00236387 0.00130147 0.01216079 0.01575579 0.00121968 0.00428814
 0.00163631 0.0708463  0.0647064  0.00201987 0.03197449 0.01952258
 0.33693188 0.04933197 0.00408611 0.00713682 0.1314902  0.24322724]"
18008,"無法取得 IP ,桌機也不通","網管,網路,電腦網路,無法,取得,IP,無法,取得,IP,不通",8,作業系統與印表機,14,網路,"[0.00140021 0.0009819  0.00975833 0.0153447  0.00080864 0.00362451
 0.00174497 0.06345337 0.5485009  0.00123929 0.02210587 0.0156368
 0.11871707 0.01399177 0.02210456 0.01018926 0.05933052 0.09106729]"
10243,投資部-->寶來點精靈環球通昨天開始無法使用(工作需要),"網管,網路,無法,連到,某台,Server,無法,連到,Server,資部,寶來,精靈,環球,無法使用,工作",8,作業系統與印表機,14,網路,"[2.86107912e-04 1.32228553e-04 5.29289618e-03 1.36004789e-02
 1.50941196e-04 6.28042442e-04 4.73774795e-04 1.74971186e-02
 7.33872831e-01 4.58523980e-04 7.65478332e-03 3.56999738e-03
 1.00660445e-02 6.15328224e-03 1.81002796e-01 2.25370657e-03
 8.51849001e-03 8.38797912e-03]"
2287,"您好,由於最近有一個案子要與其他單位合作,我們有將一些資料上傳至我們的FTP某一個資料夾給他們做存取檔案  但是我們這做了設定之後他們還是無法連接近來  想請問需要怎麼處理呢?  \\erj15fs01\files\Share\Pioneer <- 是這個FTP下的Pioneer這個資料夾可以做存取,其他路徑則不行  需開給這3位同仁權限  Keng-Haur Chang ; Josh Hsieh  ;Sage Shih","網管,檔案,共用,FTP,檔案,共用,設定,無法,連到,共用,檔案,一個,案子,單位,合作,有將,一些,資料,傳至,FTP,某一,資料夾,給做,存取,檔案,這做,設定,無法,連接,請問,需要,erj15fs01,files,Share,Pioneer,FTP,Pioneer,資料夾,存取,路徑,則不行,需開給,同仁,權限,Keng,Haur,Chang,Josh,Hsieh,Sage,Sh",10,其他,13,檔案共用或FTP,"[0.00563034 0.00347581 0.01478509 0.02049591 0.00405133 0.00878681
 0.00302683 0.03606903 0.10534252 0.00416534 0.2676165  0.01401711
 0.10553812 0.15338807 0.00621746 0.00830075 0.04882635 0.19026655]"
237,信箱常會容易爆掉，似乎是伺服器上有資料夾佔住空間,"網管,Outlook,郵件,Outlook,信箱,容易,爆掉,似乎,伺服器,資料夾,佔住,空間",3,QCO,2,Outlook與郵件,"[5.20783302e-04 1.35890360e-03 3.91948462e-01 5.45304954e-01
 4.41832468e-04 4.67512175e-04 1.01964921e-03 1.40940165e-02
 2.54638842e-03 1.00215513e-03 5.31074172e-03 7.28524569e-03
 9.21015162e-03 4.01039654e-03 7.65535235e-03 6.48923800e-04
 3.84680042e-03 3.32774105e-03]"
6790,出差大陸中. 短號  832-5612761  使用VPN 後BPM & 請假系統無法使用,"網管,VPN,連線,SSLVPN,無法登入,出差,大陸,短號,61,使用,VPN,BPM,請假,系統,無法使用",8,作業系統與印表機,7,VPN連線,"[3.1119408e-04 2.7089621e-04 4.4272915e-03 7.1237045e-03 1.7063422e-04
 7.1490451e-04 7.5669790e-04 2.0240685e-02 8.5694474e-01 4.3220760e-04
 5.3192466e-03 4.7151586e-03 1.4616892e-02 3.8394446e-03 3.8180083e-02
 3.2188180e-03 2.7341016e-02 1.1376337e-02]"
5579,檔案無法上傳,"網管,檔案,共用,FTP,FTP,連線,下載,無法,連到,公司,內部,FTP,檔案,無法上傳",12,商務用Skype,13,檔案共用或FTP,"[0.00198428 0.00139604 0.01473958 0.01741663 0.0013047  0.00374184
 0.00183335 0.0736329  0.02979903 0.00176823 0.01009541 0.03319976
 0.36779565 0.02922929 0.00225123 0.00753742 0.21818583 0.18408881]"
9418,無法連線雲端 目前重慶出差(連絡分機 385 12775),"網管,QCO,雲端,連線,無法登入,無法,連線,雲端,目前,重慶,出差",12,商務用Skype,3,QCO,"[0.00206654 0.00126896 0.01418338 0.01970271 0.00124844 0.00356183
 0.0016649  0.08203775 0.02880949 0.00172941 0.01036454 0.03012569
 0.3600279  0.03393255 0.00227664 0.00665959 0.2184462  0.1818935 ]"
6070,"今天早上打開電腦發現電腦內有許多檔案被更改名字 (ex: _README_.hta, adTfZ4tkYd.9239, etc...)  我有認得其中一個亂碼檔案是我其中一個outlook pst，更改名字後可以使用  目前正在使用公司的Trend Micro進行D槽的掃瞄 看能不能抓得到東西    上網查了一下很像是下面這個問題，但是不知道要怎麼辦  http://answers.microsoft.com/en-us/protect/forum/protect_other-protect_scanning/i-need-help-to-decrypt-file-crypted-by-readmehta/13fa9d69-0c43-4e4f-b28c-ffa39851bd0b","網管,電腦,防毒,電腦病毒,電腦中毒,打開,電腦,發現,電腦,內有,許多,檔案,改名,ex,README,_.,hta,adTfZ4tkYd.9239,etc,認得,亂碼,檔案,一個,outlook,pst,改名,字後可以,使用,目前,使用,公司,Trend,Micro,進行,掃瞄,看能,東西,上網,一下,下麵,不知道,要辦",10,其他,17,電腦防毒,"[0.0048793  0.00297776 0.01198492 0.01649082 0.00325739 0.00771045
 0.00235517 0.03640549 0.0937401  0.00347231 0.27521706 0.01230031
 0.10745178 0.15806971 0.00442845 0.00702235 0.04018414 0.21205254]"
1747,電腦攜出安裝VPN連線程式安裝諮詢 #16167,"網管,VPN,連線,SSLVPN,無法登入,電腦,攜出,安裝,VPN,連線,程式,安裝,諮詢",8,作業系統與印表機,7,VPN連線,"[7.2541108e-05 5.1333249e-05 1.2589975e-03 2.3150700e-03 5.0119543e-05
 2.0725274e-04 2.2203082e-04 5.8165146e-03 9.5428556e-01 1.3855407e-04
 1.8251404e-03 1.2287612e-03 4.3351422e-03 1.6517998e-03 1.6665723e-02
 8.1791973e-04 6.5219579e-03 2.5355411e-03]"
6573,"每天早上八點半至九點半無法登入QCO，登入時出現""User profile service無法登入。無法載入使用只設定檔。""","網管,QCO,雲端,連線,無法登入,天早上,八點,半至,九點,無法登入,QCO,入時,出現,profile,service,無法登入,無法,載入,使用,設定檔",12,商務用Skype,3,QCO,"[0.00239804 0.0017578  0.02497652 0.11809808 0.00129833 0.00256537
 0.00279474 0.23547144 0.01452696 0.00199674 0.00753662 0.02952914
 0.24494626 0.03559527 0.00289826 0.00636057 0.16541612 0.10183372]"
11269,本機無法看到共用檔案,"網管,檔案,共用,FTP,檔案,共用,設定,無法,連到,共用,檔案,本機,無法,看到,共用,檔案",12,商務用Skype,13,檔案共用或FTP,"[0.00241406 0.00133067 0.0180623  0.03205161 0.00130657 0.00337624
 0.00192144 0.12431048 0.02390173 0.00187892 0.00858601 0.02818456
 0.34886068 0.03764106 0.00264228 0.00665794 0.20960325 0.14727026]"
14670,無法開啟薪資單也無法開啟公告信,"網管,解密,郵件,文件,加密,郵件,打不開,無法開啟,薪資單,無法開啟,薪資單,無法開啟,公告",16,連網頁/Skype,11,加解密郵件/文件,"[0.00158074 0.00295326 0.07695176 0.12178422 0.00232434 0.00242103
 0.00452715 0.15100163 0.0166818  0.00196764 0.00270671 0.07458045
 0.16476236 0.0153846  0.00278854 0.01046836 0.2954061  0.0517094 ]"
