description,category_a,category_b,category_c,category_d,category
操作電腦四年舊換新時出現錯誤訊息，該資產編號名下無保管人，無法繼續操作申請  #16060,BPM平台系統,資訊類相關服務,電腦申請單,相關操作詢問,資訊系統
"目前在進行申請vendor vode的流程, 廠商在上傳自評時, 在”維護廠商基本資料”的按鈕操作有問題, 按了沒有反應, 也沒有跳出任何頁面.  已有換過兩台電腦, 並且用過IE以及Chrome兩種瀏覽器, 都沒有辦法  還請提供協助, 謝謝",BPM平台系統,品保類相關服務,廠商稽核系統,相關操作詢問,資訊系統
分機13665,BPM平台系統,資訊類相關服務,電腦申請單,相關操作詢問,資訊系統
請幫忙抽單，APP0017668，17741,BPM平台系統,資訊類相關服務,電腦申請單,相關操作詢問,資訊系統
填寫完送出時整個當掉,BPM平台系統,資訊類相關服務,電腦申請單,相關操作詢問,資訊系統
因重複填寫請協助將電腦申請單app0018183抽單~謝謝,BPM平台系統,資訊類相關服務,電腦申請單,相關操作詢問,資訊系統
"如何申請測試用的治具電腦, 並有特殊的規格需求?",BPM平台系統,資訊類相關服務,電腦申請單,相關操作詢問,資訊系統
舊資產已減損，但仍顯示在系統中，無法申請新電腦,BPM平台系統,資訊類相關服務,電腦申請單,關卡流程詢問,資訊系統
VPN使用問題，分機:16346,網管,VPN連線,SSLVPN問題,無法登入,網路
無法登入，安裝軟體時會失敗  分機：16719,網管,VPN連線,SSLVPN問題,無法登入,網路
使用Open VPN 時連上MyBPM 首頁但無法再Link進去 請協助處理  EXT:15306,網管,VPN連線,SSLVPN問題,無法登入,網路
VPN早上可以登入，但10點過後卻失敗，請用OCS聯絡。,網管,VPN連線,SSLVPN問題,無法登入,網路
在家無法連接wifi ap，只能用usb連接手機連vpn,網管,VPN連線,SSLVPN問題,手機或平板VPN問題,網路
出差重慶廠商處，無法使用VPN  還有接MAIL時，秀密碼過期,網管,VPN連線,SSLVPN問題,無法登入,網路
OPEN VPN GUI 無法開啟,網管,VPN連線,SSLVPN問題,無法登入,網路
於河南出差，無法連線VPN。連絡電話：3825 648142。,網管,VPN連線,SSLVPN問題,無法登入,網路
是否能協助查詢VPN使用Log紀錄 #12580,網管,VPN連線,SSLVPN問題,無法登入,網路
安裝VPN有問題,網管,VPN連線,SSLVPN問題,無法登入,網路
申請人手機:0935286170 ，使用家裡電腦連VPN回公司會無故重開機。,網管,VPN連線,SSLVPN問題,無法登入,網路
"在MAC安裝完TunnelBlick及client設定檔後仍連不上，一直卡在""正在解析域名...""",網管,VPN連線,SSLVPN問題,無法登入,網路
在家中連上VPN後，沒辦法進入公司FTP資料夾:    \\ofap08\,網管,VPN連線,SSLVPN問題,無法登入,網路
SSLVPN 手冊網頁無法顯示,網管,VPN連線,SSLVPN問題,無法登入,網路
在家連結open-VPN，可是右下角並不會出現Open-VPN 可以輸入 工號跟密碼的視窗。只會出現 設定中/離開 的選項 公司網站是可以開的，OCS也可以開。但是 SAP不行連,網管,VPN連線,SSLVPN問題,無法登入,網路
#18923,網管,VPN連線,SSLVPN問題,無法登入,網路
"電腦: 990110499筆電  1. 在大陸展運/松林會館無法連上VPN, 但是在非廣達企業可正常連線.  2. 現在進入某些內部/外部網址, 會顯示以下訊息:  网络访问消息: 无法显示此页  技术信息(提供给支持人员) •错误代码: 502 Proxy Error。Forefront TMG 拒绝了指定的统一资源定位器(URL)。 (12202)   •IP 地址: 172.20.170.3   •日期: 10/15/2013 1:36:31 AM [GMT]   •服务器: TMG1.quantacn.com   •源: 代理",網管,VPN連線,SSLVPN問題,無法登入,網路
"您好    手機要設定接收公司郵件,不過手機顯示 ""無法驗證"".  若繼續按儲存,則會跳出訊息 ""此郵件可能無法接收訊息""    另外請問一下密碼就是開機密碼對吧?    謝謝",網管,VPN連線,SSLVPN問題,手機或平板VPN問題,網路
17240 MLMC 問題,內部資訊系統,QUICK,QUICK 首頁,無法開啟網頁,資訊系統
"http://myquick/顯示""Internet Explorer 無法顯示網頁""，請協助處理，今天有必要作業需要完成。",內部資訊系統,QUICK,QUICK 首頁,無法開啟網頁,資訊系統
Myquanta首頁打不開，19999接不完,內部資訊系統,QUICK,QUICK 首頁,無法開啟網頁,資訊系統
您好，今年7/29有申請SAP系統帳號10104008，有更新預設密碼(原為123456)，然今日欲嘗試登入，卻顯示帳號密碼有誤，無法登入，請協助處理，謝謝!,SAP-168(QCI),Basis,帳號,新申請,SAP
無法在http://myquanta/Intrasystem/default.aspx 看到SAP ICON.請協助~~~,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
使用別人帳號無法登入sap,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
user無法登入帳號密碼,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
無法登入 EXT:11429,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
"有登入SAP的帳號問題, 請協助處理",SAP-168(QCI),Basis,帳號,新申請,SAP
SAP的account (94030130) 被鎖住了~ 請幫忙!,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
87101201 帳號無法使用,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
can''t log on SAP,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
SAP帳號被鎖住，煩請幫忙處理。 ＃17324,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
user id 被lock,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
未授權,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
SAP 35、40無法登入。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
SAP 318帳號無法登入。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
密碼改了進不去 分機:11279,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
SAP 帳號:10202030  新密碼 :qDi-3364805 ，在SAP34使用，更新密碼之後不能登入。  ext:10322,SAP-168(QCI),Basis,帳號,新申請,SAP
無法登入SAP 168,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
新進人員須開通權限,SAP-168(QCI),Basis,帳號,新申請,SAP
登入sap22之後，想要登入218，無法登入。  前幾天都可以登入218，今天不行登入。  EXT:15728,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
user反應無法登入168系統，請協助處理。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
無法連線取得薪資訊息顯示,內部資訊系統,人資資訊系統,薪資相關服務,薪資單郵件無法開啟,資訊系統
"Outlook開啟薪資明細時會出現下面的訊息  ""此內容無法透過您目前的認證進行存取。您要使用Microsoft 帳戶來存取此內容嗎?""  如果按是會出現  ""已取消瀏覽該網頁""的網頁  按否則會出現下面的訊息  ""嘗試連線到Active Directory Rights Management Services 伺服器時發生錯誤。請稍後再試或聯絡您的系統管理員""",內部資訊系統,人資資訊系統,薪資相關服務,薪資單郵件無法開啟,資訊系統
這封郵件含有限制的權限，在您確認憑證之前無法在讀取窗格中檢視郵件。請開啟項目，已讀取內容並確認您的憑證。  此內容無法透過您目前的認證進行存取。您要使用Microsft帳戶來存取此內容嗎?,內部資訊系統,人資資訊系統,薪資相關服務,薪資單郵件無法開啟,資訊系統
近2個月薪資單郵件都無法開啟。,內部資訊系統,人資資訊系統,薪資相關服務,薪資單郵件無法開啟,資訊系統
無法開啟有權限的信件,內部資訊系統,人資資訊系統,薪資相關服務,薪資單郵件無法開啟,資訊系統
薪資明細單無法開啟，會發生錯誤。 分機 #11543,內部資訊系統,人資資訊系統,薪資相關服務,薪資單郵件無法開啟,資訊系統
開單發生系統錯誤  #15536,BPM平台系統,事務類相關服務,固定資產減損申請單,系統無法登入,資訊系統
"固定資產減損單單號：APP0014849,我主管已經簽核完,NB也還給MIS,為何還有一人一機電腦使用宣導通知?檢查我的資產還在我帳上,可以幫忙處理一下嗎?謝謝",BPM平台系統,事務類相關服務,固定資產減損申請單,相關操作詢問,資訊系統
分機: 16389  問題: 表單流程有誤，主管簽核帶錯人員，請協助修正。,BPM平台系統,事務類相關服務,固定資產減損申請單,關卡流程詢問,資訊系統
桌上型電腦年限久遠不堪使用，欲報廢處理。,BPM平台系統,事務類相關服務,固定資產減損申請單,關卡流程詢問,資訊系統
資料填錯，單號為APP0010805，因為沒有權限可以抽單，所以麻煩相關人員幫忙抽單 #15360,BPM平台系統,事務類相關服務,固定資產減損申請單,相關操作詢問,資訊系統
"APP0009471已經簽核通過, 電腦已繳交宜芳, 兩天過後, 報廢的資產還掛在名下, 因此煩請確認流程上是否還欠何步驟, 謝謝",BPM平台系統,事務類相關服務,固定資產減損申請單,關卡流程詢問,資訊系統
"廠商展延申請單已簽核完畢, 目前停留在系統執行階段, 想知道何時可以處理完畢",BPM平台系統,事務類相關服務,廠商展延申請單,關卡流程詢問,資訊系統
"出現Sorry, Error of Operation的訊息, 無法開單",BPM平台系統,事務類相關服務,固定資產減損申請單,系統無法登入,資訊系統
客人長期入廠門禁無法轉單展延 或系統回覆展延成功 卻找不到 單子.,BPM平台系統,事務類相關服務,廠商展延申請單,相關操作詢問,資訊系統
"使用者反應登入SAP238時顯示無法登入的訊息,請協助處理",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
USER反應無法登錄系統,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"無法登入,有錯誤訊息  TEL:15739",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"USER的帳號無法登入, CLIENT:238,288,278, 分機:382-13847",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"AP32, AP33 無法連線   382-45438",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
SAP第一層帳號無法進入 ext.13230,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
第一次使用  操作上有問題  請協助.,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"User反應SAP208 第一層帳號遭Lock,煩請盡速協助處理.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
cannot access 268 SAP system.  error code 88,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
改了密碼以後不能使用Client 218  SAP帳號:78092001,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"User反應SAP268 GroupID被LOCK住,煩請協助處理.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
17327 SAP第二層 無法Logon,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
忘記下載時需填入的Code,SAP-168(QCI),FI,,Invoice processing error.,SAP
SAP 34無法登入,SAP-168(QCI),FI,,Invoice processing error.,SAP
波蘭與捷克幣別無法轉換,SAP-168(QCI),FI,,Invoice processing error.,SAP
分機: 17103,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
保管人的地方無法輸入,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
EXT:11004  生產大樓外帶證有問題請儘快協助處理.,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
"1.因HDD損壞,重新購置的HDD容量與原來不同,.資產編號貼紙已更換(變更為正確的HDD容量)  2.因考慮大陸出差,安檢人員可能會發現系統與機台設備有差異,而遭到刁難,故要重新申請外帶證  3.申請單出現""此資產已存在申請單APP0008132,請先辦理停用!  請問要如何辦理停用及後續申請流程?  謝謝!",BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
資產編號990110400輸入後，顯示找不到該資產,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
帶不出資產編號:990110400,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
電腦外帶証申請單 保管人無法帶入  分機: 16508,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
需要將8/28申請的電腦外帶申請單APP0012484，做修改或是刪除的動作。  EXT:12292,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
"無法送出,顯示網域發生問題",BPM平台系統,業務類相關服務,Customer Data,系統無法登入,資訊系統
無法填寫外帶證申請單,BPM平台系統,事務類相關服務,電腦外帶證申請單,相關操作詢問,資訊系統
17086 目前出差(18217599637 大陸號碼) BPM非標單進入系統一片空白 試連其他項目正常,BPM平台系統,品保類相關服務,非標準材料鑑審表,系統無法登入,資訊系統
在process 串簽列要加人的時候系統會出現“原始流程取得錯誤，請關掉視窗，切回表單，重新進入流程後繼續操作！！” 這個訊息按掉後，串簽單的人員全部都會消失，然後無法在更動。,BPM平台系統,品保類相關服務,非標準材料鑑審表,系統無法登入,資訊系統
無法登入SAP,SAP-168(QCI),Basis,其它,無法logon SAP,SAP
新增SAP LOGON 至Citrix,SAP-168(QCI),Basis,其它,安裝SAP,SAP
logon sap 168 fail,SAP-168(QCI),Basis,其它,無法logon SAP,SAP
user要刪除background作業 SAPF124 請幫忙協助處理,SAP-168(QCI),Basis,其它,Performance Issue,SAP
CSAP23無法LOGON,SAP-168(QCI),Basis,其它,無法logon SAP,SAP
"出差在大陸,無法連上出勤系統,無法申請補登及加班。",內部資訊系統,人資資訊系統,出勤相關服務,補登問題,資訊系統
加班申請單，抽單問題，分機12603,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
10/7 請假謙和完成，狀態仍異常 #16469,內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
10/7 請假謙和完成，狀態仍異常 #16469,內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
10/7 請假謙和完成，狀態仍異常 #16469,內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
"使用者無法進入出勤系統, 請協助處理 !",內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
請問為何我會收到以下這些人的請假簽核通知呢？似乎都是“BU10事業部軟體組軟體三處軟體一課”的同仁  10505030  許永芳   10008039  黃飛翔   10108113  李忠謙   10405032  吳品品   10512003  吳雲漢   10509079  吳宗儒,內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
在主管簽核中，無法列出所有預報加班的申請單，無法一次簽核。#13099,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
請假作業系統與BPM系統都進不去,內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
"請假作業系統無法使用. 出現錯誤訊息如下.    ''/BPMPortal'' 應用程式中發生伺服器錯誤。  --------------------------------------------------------------------------------  編譯錯誤   描述: 資源編譯無法完成 (錯誤發生於服務要求)。請檢閱下列的特定錯誤詳細資料，並視情況修改您的原始程式碼。     編譯器錯誤訊息: CS0126: 需要可轉換為 ''bool'' 型別的物件    原始程式錯誤:  行 1787:            {  行 1788:                MasterPage.AlertMessage(""請確認請假開始日期格式為 YYYYMMDD ，Ex: 20170101 !"");  行 1789:                return;  行 1790:            }  行 1791:            if (!IsDate(txtEnddat.Text.Trim()))    原始程式檔: c:\inetpub\wwwroot\BPMPortal\Program\GWF062\GWF062_New.aspx.cs    行: 1789",內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
同仁需簽核預報加班，但是點那筆單子進去是空白的。,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
"預報加班系統申請加班送出,但系統停在""Please wait..""  另外,有請另一個同事預報加班也碰到一樣的問題.",內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
無法登入,內部資訊系統,人資資訊系統,出勤相關服務,請假問題,資訊系統
使用者反應出勤系統主管選單無法下載出勤紀錄，請協助處理,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
無法申報加班,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
"10/3 我正常8:33上班,6:10左右刷卡下班,為什麼我的下班出勤紀錄是08:33  日期 上班時間 下班時間   20141003 0833  0833    還收到信出勤異常?  您好:提醒您，截至 20141005 為止您尚有 10月 1筆出勤異常，請您盡快至出勤系統處理，或提醒您的主管進行簽核，謝謝!",內部資訊系統,人資資訊系統,出勤相關服務,補登問題,資訊系統
2018/06/26沒有下班時間，無法申報加班,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
8/16出勤發生異常。8/16有公出，由於不確定與客人的會議和時結束，先請公出假0900~1800。  當天會議結束後回到公司是3點。我早上是8點4分進公司，5點38分已經達到正常的上班時數，接著去了康達館。  但系統認定是我在公出期間去了康達館，所以出勤異常。  8/18早上處理後恢復正常，下午又異常了  8/16有加班，主管須在今天統整加班時數，煩請盡快處理。Thanks  刷卡紀錄:  20160816 工作日 進 0804 北右2進-PCM-2FB-02 ----------------------->上班  20160816 工作日 出 0822 1F 訪客S區 自動GATE(G->會客區) --->公出開始  20160816 工作日 進 1508 1F訪客N區自動GATE(會議室-->R) ---->公出結束回到公司  20160816 工作日 出 1738 北右3出-PCM-2FB-05 ---------------------->進康達館  20160816 工作日 進 1939 南左2進-PCM-2FC-01 ---------------------->回來加班  20160816 工作日 出 2055 北右3出-PCM-2FB-05 ---------------------->下班,內部資訊系統,人資資訊系統,出勤相關服務,加班問題,資訊系統
在家裡連vpn就上不了請假單，在公司就可以  #15870,BPM平台系統,人資類相關服務,請假申請單,系統無法登入,資訊系統
分機: 15601  問題: 請假單頁面無法使用,BPM平台系統,人資類相關服務,請假申請單,系統無法登入,資訊系統
myquanta進不去,BPM平台系統,人資類相關服務,請假申請單,系統無法登入,資訊系統
無法簽核,BPM平台系統,人資類相關服務,請假申請單,相關操作詢問,資訊系統
主管已經簽核請假單，但現在想取消假單，請協助，謝謝!!,BPM平台系統,人資類相關服務,請假申請單,相關操作詢問,資訊系統
關於BOM資料正確性的問題,SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP
達丰user說 R10的BOM還沒轉過去 請協助處理,SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP
"SAP218(BOM),匯出excel,會出現存取錯誤",SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP
這張MRO- 1700077849，後來簽核完後，要求更改ship-to地點去QSMC，廠商願意以原本這張MRO　PO配合送過去QSMC，所以當時沒有更改  現在物品也寄送完畢，這張PO也進廠商系統了。  但請款這邊，會計告知無法作帳，PO ship to 一定得是QSMC 與Invoice一樣  要詢問MIS這邊能不能協助更改?,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
MRO填寫日期時會一直要求重新輸入正確日期,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
使用者反應無法更新採購人員清單，請協助處理,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
User反應系統出現錯誤訊息，請協助處理,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
"MRO#APP0455569 (PO#1900073981) / APP0451801 (PO#1900073978) were shipped to QCA Building 2, I can''t find these two MROs in ""Receiveing Material Process"" and proceed shipment receiving, please check and advise how to solve it, thanks a lot.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
連進去會error，且顯示程式碼錯誤。  #17356,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
MRO轉單問題詢問。分機： 13807,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
APP0528521無法抽單  #216099,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
MRO收料 系統錯誤,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
資料填完送出之後系統發生error Mssage 但有產生單號.請協助處理   EXT:12393,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
218可以登入，但無法使用。  #16111,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
SAP不通 存取權限發生錯誤 #11426,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
CSAP22 無法使用 #16570,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
無法登入使用，#16605,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
user無法連進SAP,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
SAP TYC-298係統無法使用。,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
user反應TYC-298係統,SAP-2X8(QSMC),Basis,帳號,新申請,SAP
需要一字階料號查詢的權限,SAP-168(QCI),Basis,Authorization,權限不足,SAP
曾經申請過第二層權限，但是卻無法登入,SAP-168(QCI),Basis,Authorization,權限不足,SAP
在公司外使用VPN登入 無法連線,SAP-168(QCI),Basis,Authorization,權限不足,SAP
CITRIX連不進去  #11245,SAP-168(QCI),Basis,Authorization,權限不足,SAP
"User表示SAP系統無法登入使用,煩請協助處理.",SAP-168(QCI),Basis,Authorization,,SAP
PC09-B033,SAP-168(QCI),Basis,Authorization,權限不足,SAP
"Can''t login SAP. Error message ""Password error!""  #41596",SAP-168(QCI),Basis,Authorization,權限不足,SAP
詢問設定sap folder 權限的問題  #18231,SAP-168(QCI),Basis,Authorization,權限不足,SAP
變更為SAP 21後無法上傳資料，煩請協助。#16222,SAP-168(QCI),Basis,Authorization,權限不足,SAP
請問 QDSM 上傳格式(如附件)有更新嗎?    請幫忙設定3個管理員  QSMC-NB3-RD2   于溪臣 一课和二课  雷远宁 三课  王景云 四课,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"關於 QDSM 設備對應 SubClass 的問題  Daisy 本來上傳 device list之後 ok, 點進去編輯 就會發現subclass 改變 或是 不見",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
請您協助將QDSM user “Iris Ho (何夢瑩)” device owner的舊工號改為新工號，謝謝。    舊工號10006095  新工號10206045,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"1.之前原掛在我身上的device 部門是在NB1 且應該已經刪除-1． 原NB1下的所有設備資料從資料庫清除 * (之前組織變動有送單,(http://qcibpm/BpmPortal/Program/GWF016/QueryForm.aspx?FORMID=GWF016&APPLID=1600003991 )我也確認過以為OK)  2.剛有人要跟我借東西才發現以下問題,  卻在MIS-2 發現我有掛資產 且我一看資料似乎是從NB1 device 移過來的    3.希望可以把有掛我的名字且在MIS-2部門底下的device 刪除 (那些devcie 已不在我身上)",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
因部門內部device進行整合動作，以下部分需要MIS協助:  1. device transfer時有問題，因需將device轉給NB3-RD2的owner，但在轉換時發現device僅將owner轉換，department仍為NB3-RD1，導致無法管理這些device，需協助更改。  2. 將NB3-RD2修改為SIT3。  3. 隱藏NB3-RD1。  3. 提供device list(含流水號)以便圖片更新。,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"因目前需匯入大量device資訊，先前有提出需求新增win8, 8.1的OS選項，但現在Excel Import並不能匯入有win8, 8.1的excel table，請協助function work，謝謝!",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"1. 因部門內部在進行設備整合的動作需要將部分設備(約400項)ODSM device ID變更, 但目前在系統上device ID不能變更，請問MIS可否協助變更。 或是協助將圖檔資料匯出，目前需重新編碼的device ID屬NB3-RD1，分類為:AUD, CAM, CAR, DIS, FC, KM, LAN, M, OP, SIM, TOOL, WI。   2. 目前QDSM系統上新增Device的設備資訊中，OS欄位目前僅有Win7, Vista XP, Linux, WinCE, Others，希望可以新增Win8, Win8.1的選項，以便維護設備資訊。",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
因部門設備整合之需，將原NB3-RD1/RD2之設備整併為SIT3  但我們在驗證過之後，發現管理權限仍然有問題，把掛在SIT3下的Device轉給隸屬GR301的人後，  仍無法進行設備的管理或借還，請協助問題處理，謝謝。,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"請問QDSM系統   1.是否能多筆資料一起刪除  2.請問之前歸還物品會有Mail,現在都沒有Mail通知;此項功能是否已停止",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"點選excel import連結，系統回復應用程式中發生伺服器錯誤    行 67:         string FileName = """";  行 68:   行 69:         localFiles = Directory.GetFiles(iLogFolder);  行 70:         int filecount = 0;  行 71:         foreach (string file in localFiles)",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
我們部門於QDSM系統設定了三位Admin，日前發現三位Admin的mail setting部門別顯示的內容都不盡相同。  Sophie(10105023)設定了GR401~GR404共四個單位，但新增設備時，notice mail只發給GR402的成員。  Isabel(94062701)查詢mail setting只有GR402，而Cynthia(97040116)則查無資料。  不確定是否為系統異常或是針對不同管理者允許有不同設定(但這部份不確定確切功能為何)，請MIS協助處理.,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"點選excel import連結，系統回復應用程式中發生伺服器錯誤 行 67: string FileName = """"; 行 68: 行 69: localFiles = Directory.GetFiles(iLogFolder); 行 70: int filecount = 0; 行 71: foreach (string file in localFiles)",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
"連結QDSM頁面，網頁一直顯示""正在等候…""，無法正常開啟",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
QDSM目前是否可以開放給重慶端使用? 若要使用，是否需要MIS另外設定?    目前在Authority Maintenance頁面無法將重慶member設為Admin,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,資訊系統
238 SD issue,SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP
"達丰User反應SO號碼沒有轉入208,今早急著出貨~煩請協助處理",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP
使用者在使用ZMAW時發現有一張Delivery No:550473284沒有從218轉到168，請幫忙處理，謝謝!!,SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP
"11768 因為操作失誤導致連續申請相同的兩張出差單,第二份要刪單無法刪除",BPM平台系統,人資類相關服務,出差申請單,相關操作詢問,資訊系統
出差申請單按送出會跳出''operation''的alert message   分機 :17955,BPM平台系統,人資類相關服務,出差申請單,系統無法登入,資訊系統
"BPM系統無法開單,謝謝",BPM平台系統,人資類相關服務,出差申請單,相關操作詢問,資訊系統
公出假點完出現錯誤訊息,BPM平台系統,人資類相關服務,出差申請單,相關操作詢問,資訊系統
"無法存取廠商FTP抓資料, 疑似被防火牆擋住, 請協助開啟權限:  FTP://58.211.70.166",網管,網路,無法連到某台Server,無法連到某些Server,網路
"我的 NB, 無法連線到單位內部的電腦 (上週四開始出問題)  1. windows server, 檔案分享, 無法連線  2. linux server, 我開 samba, 無法連線",網管,網路,無法連到某台Server,無法連到某些Server,網路
10.242.249.94 無法連線請協助處理.   EXT:15753,網管,網路,無法連到某台Server,無法連到某些Server,網路
"工作機要利用網芳登入 10.241.148.32 都無法進入.用OS內建的分析去跑,顯示 ""遠端電腦未回應連接埠 445的連線""   這台電腦也是用我工號建置的 治具server. 用ping/tracert的方式沒顯示異常",網管,網路,無法連到某台Server,無法連到某些Server,網路
"AN990113769 治具Server原為 Zohan Xiao (蕭志凌) 保管,因zohan已轉部門,而此設備仍需要入廣達網域,能否不用工號登入方式,使用Server自設密碼入廣達網域?  如果可以,如何移除原本Zohan的帳密?  如果不可以,能否用遠端方式協助改成我的?",網管,網路,無法連到某台Server,無法連到某些Server,網路
"AN990113769 治具Server原為 Zohan Xiao (蕭志凌) 保管,因zohan已轉部門,而此設備仍需要入廣達網域,能否不用工號登入方式,使用Server自設密碼入廣達網域?  如果可以,如何移除原本Zohan的帳密?  如果不可以,能否用遠端方式協助改成我的?",網管,網路,無法連到某台Server,無法連到某些Server,網路
需要一組FIX ID 給日本客戶連線,網管,網路,無法連到某台Server,無法連到某些Server,網路
"連myquanta OK,如果連BPM 就不行",網管,網路,無法連到某台Server,無法連到某些Server,網路
